Code	Name	Description
1E4TBrWx93mRpLzhEIBOeZ	Default	
1E4TBrWx93mRpLzhEIBOeW	IfcBuilding	
1E4TBrWx93mRpLzhDjqaRU	Level 1	
2JuXRljVH1lAVD85_X3iHh	Basic Wall:Generic - 200mm - Filled:199381	<facet><point>-11656.4,-7677.66,0</point><point>-11656.4,-7677.66,0</point><point>-11656.4,-7677.66,0</point><point>-11656.4,-7677.66,0</point></facet><facet><point>-11656.4,12522.3,0</point><point>-11656.4,12522.3,0</point><point>-11656.4,12522.3,0</point><point>-11656.4,12522.3,0</point></facet><facet><point>-11656.4,-7677.66,6500</point><point>-11656.4,-7677.66,6500</point><point>-11656.4,-7677.66,6500</point><point>-11656.4,-7677.66,6500</point></facet><facet><point>-11856.4,-7677.66,6500</point><point>-11856.4,-7677.66,6500</point><point>-11856.4,-7677.66,6500</point><point>-11856.4,-7677.66,6500</point></facet><facet><point>-11856.4,12522.3,0</point><point>-11856.4,12522.3,0</point><point>-11856.4,12522.3,0</point><point>-11856.4,12522.3,0</point></facet><facet><point>-11656.4,-7677.66,6500</point><point>-11656.4,-7677.66,6500</point><point>-11656.4,-7677.66,6500</point><point>-11656.4,-7677.66,6500</point></facet>
2JuXRljVH1lAVD85_X3iM3	Basic Wall:Generic - 200mm - Filled:199485	<facet><point>1.17822e-316,0,6.32404e-322</point><point>1.17822e-316,0,6.32404e-322</point><point>1.17822e-316,0,6.32404e-322</point><point>1.17822e-316,0,6.32404e-322</point></facet><facet><point>1.17977e-316,0,6.32404e-322</point><point>1.17977e-316,0,6.32404e-322</point><point>1.17977e-316,0,6.32404e-322</point><point>1.17977e-316,0,6.32404e-322</point></facet><facet><point>2.122e-314,1.89363e-52,6.32404e-322</point><point>2.122e-314,1.89363e-52,6.32404e-322</point><point>2.122e-314,1.89363e-52,6.32404e-322</point><point>2.122e-314,1.89363e-52,6.32404e-322</point></facet><facet><point>2.122e-314,1.89363e-52,6.32404e-322</point><point>2.122e-314,1.89363e-52,6.32404e-322</point><point>2.122e-314,1.89363e-52,6.32404e-322</point><point>2.122e-314,1.89363e-52,6.32404e-322</point></facet><facet><point>2.54639e-312,8.29652e-114,6.32404e-322</point><point>2.54639e-312,8.29652e-114,6.32404e-322</point><point>2.54639e-312,8.29652e-114,6.32404e-322</point><point>2.54639e-312,8.29652e-114,6.32404e-322</point></facet><facet><point>1.18748e-316,1.17901e-316,6.32404e-322</point><point>1.18748e-316,1.17901e-316,6.32404e-322</point><point>1.18748e-316,1.17901e-316,6.32404e-322</point><point>1.18748e-316,1.17901e-316,6.32404e-322</point></facet>
2JuXRljVH1lAVD85_X3iKy	Basic Wall:Generic - 200mm - Filled:199554	<facet><point>2.42092e-322,0,-1</point><point>2.42092e-322,0,-1</point><point>2.42092e-322,0,-1</point><point>2.42092e-322,0,-1</point></facet><facet><point>1.63042e-322,1.17793e-316,1.17664e-316</point><point>1.63042e-322,1.17793e-316,1.17664e-316</point><point>1.63042e-322,1.17793e-316,1.17664e-316</point><point>1.63042e-322,1.17793e-316,1.17664e-316</point></facet><facet><point>4.00193e-322,2.96439e-323,3.95253e-323</point><point>4.00193e-322,2.96439e-323,3.95253e-323</point><point>4.00193e-322,2.96439e-323,3.95253e-323</point><point>4.00193e-322,2.96439e-323,3.95253e-323</point></facet><facet><point>3.21143e-322,4.94066e-324,1.17091e-316</point><point>3.21143e-322,4.94066e-324,1.17091e-316</point><point>3.21143e-322,4.94066e-324,1.17091e-316</point><point>3.21143e-322,4.94066e-324,1.17091e-316</point></facet><facet><point>2.42092e-322,0,0</point><point>2.42092e-322,0,0</point><point>2.42092e-322,0,0</point><point>2.42092e-322,0,0</point></facet><facet><point>4.00193e-322,6.93356e-310,4.94066e-324</point><point>4.00193e-322,6.93356e-310,4.94066e-324</point><point>4.00193e-322,6.93356e-310,4.94066e-324</point><point>4.00193e-322,6.93356e-310,4.94066e-324</point></facet>
2JuXRljVH1lAVD85_X3iKL	Basic Wall:Generic - 200mm - Filled:199595	<facet><point>4.94066e-324,1.18063e-316,0</point><point>4.94066e-324,1.18063e-316,0</point><point>4.94066e-324,1.18063e-316,0</point><point>4.94066e-324,1.18063e-316,0</point></facet><facet><point>6.93356e-310,9.88131e-324,0</point><point>6.93356e-310,9.88131e-324,0</point><point>6.93356e-310,9.88131e-324,0</point><point>6.93356e-310,9.88131e-324,0</point></facet><facet><point>4.94066e-324,1.17048e-316,1.1781e-316</point><point>4.94066e-324,1.17048e-316,1.1781e-316</point><point>4.94066e-324,1.17048e-316,1.1781e-316</point><point>4.94066e-324,1.17048e-316,1.1781e-316</point></facet><facet><point>4.94066e-324,1.17869e-316,0</point><point>4.94066e-324,1.17869e-316,0</point><point>4.94066e-324,1.17869e-316,0</point><point>4.94066e-324,1.17869e-316,0</point></facet><facet><point>4.94066e-324,1.1781e-316,0</point><point>4.94066e-324,1.1781e-316,0</point><point>4.94066e-324,1.1781e-316,0</point><point>4.94066e-324,1.1781e-316,0</point></facet><facet><point>4.94066e-324,1.17915e-316,1.17707e-316</point><point>4.94066e-324,1.17915e-316,1.17707e-316</point><point>4.94066e-324,1.17915e-316,1.17707e-316</point><point>4.94066e-324,1.17915e-316,1.17707e-316</point></facet>
005Zuk9110axXeKE0kulOg	Basic Wall:Foundation - 300mm Concrete:200122	<facet><point>0,1.09683e-321,1.18976e-316</point><point>0,1.09683e-321,1.18976e-316</point><point>0,1.09683e-321,1.18976e-316</point><point>0,1.09683e-321,1.18976e-316</point></facet><facet><point>0,7.46039e-322,1.17613e-316</point><point>0,7.46039e-322,1.17613e-316</point><point>0,7.46039e-322,1.17613e-316</point><point>0,7.46039e-322,1.17613e-316</point></facet><facet><point>0,1.73417e-321,1.16607e-316</point><point>0,1.73417e-321,1.16607e-316</point><point>0,1.73417e-321,1.16607e-316</point><point>0,1.73417e-321,1.16607e-316</point></facet><facet><point>1.17669e-316,1.49702e-321,1.18796e-316</point><point>1.17669e-316,1.49702e-321,1.18796e-316</point><point>1.17669e-316,1.49702e-321,1.18796e-316</point><point>1.17669e-316,1.49702e-321,1.18796e-316</point></facet><facet><point>0,1.32904e-321,1.18781e-316</point><point>0,1.32904e-321,1.18781e-316</point><point>0,1.32904e-321,1.18781e-316</point><point>0,1.32904e-321,1.18781e-316</point></facet><facet><point>0,1.16105e-321,1.17758e-316</point><point>0,1.16105e-321,1.17758e-316</point><point>0,1.16105e-321,1.17758e-316</point><point>0,1.16105e-321,1.17758e-316</point></facet>
005Zuk9110axXeKE0kulMy	Basic Wall:Foundation - 300mm Concrete:200236	<facet><point>0,0,1.17002e-316</point><point>0,0,1.17002e-316</point><point>0,0,1.17002e-316</point><point>0,0,1.17002e-316</point></facet><facet><point>-7427.66,-3500,0</point><point>-7427.66,-3500,0</point><point>-7427.66,-3500,0</point><point>-7427.66,-3500,0</point></facet><facet><point>2672.34,-3500,0</point><point>2672.34,-3500,0</point><point>2672.34,-3500,0</point><point>2672.34,-3500,0</point></facet><facet><point>-7427.66,0,0</point><point>-7427.66,0,0</point><point>-7427.66,0,0</point><point>-7427.66,0,0</point></facet><facet><point>-7427.66,0,0</point><point>-7427.66,0,0</point><point>-7427.66,0,0</point><point>-7427.66,0,0</point></facet><facet><point>1.18735e-316,1.1836e-316,1.19011e-316</point><point>1.18735e-316,1.1836e-316,1.19011e-316</point><point>1.18735e-316,1.1836e-316,1.19011e-316</point><point>1.18735e-316,1.1836e-316,1.19011e-316</point></facet>
005Zuk9110axXeKE0kulKY	Basic Wall:Foundation - 300mm Concrete:200370	<facet><point>5.58294e-322,6.93356e-310,-7677.65</point><point>5.58294e-322,6.93356e-310,-7677.65</point><point>5.58294e-322,6.93356e-310,-7677.65</point><point>5.58294e-322,6.93356e-310,-7677.65</point></facet><facet><point>5.58294e-322,6.93356e-310,1.4822e-323</point><point>5.58294e-322,6.93356e-310,1.4822e-323</point><point>5.58294e-322,6.93356e-310,1.4822e-323</point><point>5.58294e-322,6.93356e-310,1.4822e-323</point></facet><facet><point>5000,0,2.1393e-321</point><point>5000,0,2.1393e-321</point><point>5000,0,2.1393e-321</point><point>5000,0,2.1393e-321</point></facet><facet><point>6.37345e-322,6.93356e-310,1.4822e-323</point><point>6.37345e-322,6.93356e-310,1.4822e-323</point><point>6.37345e-322,6.93356e-310,1.4822e-323</point><point>6.37345e-322,6.93356e-310,1.4822e-323</point></facet><facet><point>6.37345e-322,6.93356e-310,1.4822e-323</point><point>6.37345e-322,6.93356e-310,1.4822e-323</point><point>6.37345e-322,6.93356e-310,1.4822e-323</point><point>6.37345e-322,6.93356e-310,1.4822e-323</point></facet><facet><point>3000,0,2.1393e-321</point><point>3000,0,2.1393e-321</point><point>3000,0,2.1393e-321</point><point>3000,0,2.1393e-321</point></facet>
