Code	Name	Description
1E4TBrWx93mRpLzhEIBOeZ	Default	
1E4TBrWx93mRpLzhEIBOeW	IfcBuilding	
1E4TBrWx93mRpLzhDjqaRU	Level 1	
2JuXRljVH1lAVD85_X3iHh	Basic Wall:Generic - 200mm - Filled:199381	<facet><point>-11856.4,-7677.66,0</point><point>-11856.4,12522.3,0</point><point>-11656.4,12522.3,0</point><point>-11656.4,-7677.66,0</point></facet><facet><point>-11856.4,12522.3,0</point><point>-11856.4,12522.3,6500</point><point>-11656.4,12522.3,6500</point><point>-11656.4,12522.3,0</point></facet><facet><point>-11656.4,-7677.66,0</point><point>-11656.4,12522.3,0</point><point>-11656.4,12522.3,6500</point><point>-11656.4,-7677.66,6500</point></facet><facet><point>-11856.4,-7677.66,0</point><point>-11656.4,-7677.66,0</point><point>-11656.4,-7677.66,6500</point><point>-11856.4,-7677.66,6500</point></facet><facet><point>-11856.4,-7677.66,0</point><point>-11856.4,-7677.66,6500</point><point>-11856.4,12522.3,6500</point><point>-11856.4,12522.3,0</point></facet><facet><point>-11856.4,-7677.66,6500</point><point>-11856.4,12522.3,6500</point><point>-11656.4,12522.3,6500</point><point>-11656.4,-7677.66,6500</point></facet>
2JuXRljVH1lAVD85_X3iM3	Basic Wall:Generic - 200mm - Filled:199485	<facet><point>-11756.4,12422.3,0</point><point>-1756.36,12422.3,0</point><point>-1756.36,12622.3,0</point><point>-11756.4,12622.3,0</point></facet><facet><point>-1756.36,12422.3,0</point><point>-1756.36,12422.3,8000</point><point>-1756.36,12622.3,8000</point><point>-1756.36,12622.3,0</point></facet><facet><point>-11756.4,12622.3,0</point><point>-1756.36,12622.3,0</point><point>-1756.36,12622.3,8000</point><point>-11756.4,12622.3,8000</point></facet><facet><point>-11756.4,12422.3,0</point><point>-11756.4,12622.3,0</point><point>-11756.4,12622.3,8000</point><point>-11756.4,12422.3,8000</point></facet><facet><point>-11756.4,12422.3,0</point><point>-11756.4,12422.3,8000</point><point>-1756.36,12422.3,8000</point><point>-1756.36,12422.3,0</point></facet><facet><point>-11756.4,12422.3,8000</point><point>-1756.36,12422.3,8000</point><point>-1756.36,12622.3,8000</point><point>-11756.4,12622.3,8000</point></facet>
2JuXRljVH1lAVD85_X3iKy	Basic Wall:Generic - 200mm - Filled:199554	<facet><point>-1856.36,12322.3,0</point><point>-1856.36,-7677.66,0</point><point>-2056.36,-7677.66,0</point><point>-2056.36,12322.3,0</point></facet><facet><point>-1856.36,-7677.66,0</point><point>-1856.36,-7677.66,5000</point><point>-2056.36,-7677.66,5000</point><point>-2056.36,-7677.66,0</point></facet><facet><point>-2056.36,12322.3,0</point><point>-2056.36,-7677.66,0</point><point>-2056.36,-7677.66,5000</point><point>-2056.36,12322.3,5000</point></facet><facet><point>-1856.36,12322.3,0</point><point>-2056.36,12322.3,0</point><point>-2056.36,12322.3,5000</point><point>-1856.36,12322.3,5000</point></facet><facet><point>-1856.36,12322.3,0</point><point>-1856.36,12322.3,5000</point><point>-1856.36,-7677.66,5000</point><point>-1856.36,-7677.66,0</point></facet><facet><point>-1856.36,12322.3,5000</point><point>-1856.36,-7677.66,5000</point><point>-2056.36,-7677.66,5000</point><point>-2056.36,12322.3,5000</point></facet>
2JuXRljVH1lAVD85_X3iKL	Basic Wall:Generic - 200mm - Filled:199595	<facet><point>-1956.36,-7577.66,0</point><point>-11756.4,-7577.66,0</point><point>-11756.4,-7777.66,0</point><point>-1956.36,-7777.66,0</point></facet><facet><point>-11756.4,-7577.66,0</point><point>-11756.4,-7577.66,3000</point><point>-11756.4,-7777.66,3000</point><point>-11756.4,-7777.66,0</point></facet><facet><point>-1956.36,-7777.66,0</point><point>-11756.4,-7777.66,0</point><point>-11756.4,-7777.66,3000</point><point>-1956.36,-7777.66,3000</point></facet><facet><point>-1956.36,-7577.66,0</point><point>-1956.36,-7777.66,0</point><point>-1956.36,-7777.66,3000</point><point>-1956.36,-7577.66,3000</point></facet><facet><point>-1956.36,-7577.66,0</point><point>-1956.36,-7577.66,3000</point><point>-11756.4,-7577.66,3000</point><point>-11756.4,-7577.66,0</point></facet><facet><point>-1956.36,-7577.66,3000</point><point>-11756.4,-7577.66,3000</point><point>-11756.4,-7777.66,3000</point><point>-1956.36,-7777.66,3000</point></facet>
005Zuk9110axXeKE0kulOg	Basic Wall:Foundation - 300mm Concrete:200122	<facet><point>-2006.36,-7577.66,-3500</point><point>11693.6,-7577.66,-3500</point><point>11693.6,-7277.66,-3500</point><point>-2006.36,-7277.66,-3500</point></facet><facet><point>11693.6,-7577.66,-3500</point><point>11693.6,-7577.66,0</point><point>11693.6,-7277.66,0</point><point>11693.6,-7277.66,-3500</point></facet><facet><point>-2006.36,-7277.66,-3500</point><point>11693.6,-7277.66,-3500</point><point>11693.6,-7277.66,0</point><point>-2006.36,-7277.66,0</point></facet><facet><point>-2006.36,-7577.66,-3500</point><point>-2006.36,-7277.66,-3500</point><point>-2006.36,-7277.66,0</point><point>-2006.36,-7577.66,0</point></facet><facet><point>-2006.36,-7577.66,-3500</point><point>-2006.36,-7577.66,0</point><point>11693.6,-7577.66,0</point><point>11693.6,-7577.66,-3500</point></facet><facet><point>-2006.36,-7577.66,0</point><point>11693.6,-7577.66,0</point><point>11693.6,-7277.66,0</point><point>-2006.36,-7277.66,0</point></facet>
005Zuk9110axXeKE0kulMy	Basic Wall:Foundation - 300mm Concrete:200236	<facet><point>11543.6,-7427.66,-3500</point><point>11543.6,2672.34,-3500</point><point>11843.6,2672.34,-3500</point><point>11843.6,-7427.66,-3500</point></facet><facet><point>11543.6,2672.34,-3500</point><point>11543.6,2672.34,0</point><point>11843.6,2672.34,0</point><point>11843.6,2672.34,-3500</point></facet><facet><point>11843.6,-7427.66,-3500</point><point>11843.6,2672.34,-3500</point><point>11843.6,2672.34,0</point><point>11843.6,-7427.66,0</point></facet><facet><point>11543.6,-7427.66,-3500</point><point>11843.6,-7427.66,-3500</point><point>11843.6,-7427.66,0</point><point>11543.6,-7427.66,0</point></facet><facet><point>11543.6,-7427.66,-3500</point><point>11543.6,-7427.66,0</point><point>11543.6,2672.34,0</point><point>11543.6,2672.34,-3500</point></facet><facet><point>11543.6,-7427.66,0</point><point>11543.6,2672.34,0</point><point>11843.6,2672.34,0</point><point>11843.6,-7427.66,0</point></facet>
005Zuk9110axXeKE0kulKY	Basic Wall:Foundation - 300mm Concrete:200370	<facet><point>11393.6,2522.34,-3500</point><point>-2006.36,2522.34,-3500</point><point>-2006.36,2222.34,-3500</point><point>11393.6,2222.34,-3500</point></facet><facet><point>-2006.36,2522.34,-3500</point><point>-2006.36,2522.34,0</point><point>-2006.36,2222.34,0</point><point>-2006.36,2222.34,-3500</point></facet><facet><point>11393.6,2222.34,-3500</point><point>-2006.36,2222.34,-3500</point><point>-2006.36,2222.34,0</point><point>11393.6,2222.34,0</point></facet><facet><point>11393.6,2522.34,-3500</point><point>11393.6,2222.34,-3500</point><point>11393.6,2222.34,0</point><point>11393.6,2522.34,0</point></facet><facet><point>11393.6,2522.34,-3500</point><point>11393.6,2522.34,0</point><point>-2006.36,2522.34,0</point><point>-2006.36,2522.34,-3500</point></facet><facet><point>11393.6,2522.34,0</point><point>-2006.36,2522.34,0</point><point>-2006.36,2222.34,0</point><point>11393.6,2222.34,0</point></facet>
