Code	Name	Description
1E4TBrWx93mRpLzhEIBOeZ	Default	
1E4TBrWx93mRpLzhEIBOeW	IfcBuilding	
1E4TBrWx93mRpLzhDjqMI4	Level 3	
3Pfsc0h6P61v2EycUD0gqN	Floor:Steel Bar Joist - VCT on LW Concrete:202394	<facet><point>4843.64,-2527.66,-3500</point><point>4843.64,7272.34,-3500</point><point>-8256.36,7272.34,-3500</point><point>-8256.36,-2527.66,-3500</point></facet><facet><point>4843.64,7272.34,-3500</point><point>4843.64,7272.34,-4010</point><point>-8256.36,7272.34,-4010</point><point>-8256.36,7272.34,-3500</point></facet><facet><point>-8256.36,-2527.66,-3500</point><point>-8256.36,7272.34,-3500</point><point>-8256.36,7272.34,-4010</point><point>-8256.36,-2527.66,-4010</point></facet><facet><point>4843.64,-2527.66,-3500</point><point>-8256.36,-2527.66,-3500</point><point>-8256.36,-2527.66,-4010</point><point>4843.64,-2527.66,-4010</point></facet><facet><point>4843.64,-2527.66,-3500</point><point>4843.64,-2527.66,-4010</point><point>4843.64,7272.34,-4010</point><point>4843.64,7272.34,-3500</point></facet><facet><point>4843.64,-2527.66,-4010</point><point>4843.64,7272.34,-4010</point><point>-8256.36,7272.34,-4010</point><point>-8256.36,-2527.66,-4010</point></facet>
1E4TBrWx93mRpLzhDjqaRU	Level 1	
2JuXRljVH1lAVD85_X3iHh	Basic Wall:Generic - 200mm - Filled:199381	<facet><point>-11856.4,-7677.66,0</point><point>-11856.4,12522.3,0</point><point>-11656.4,12522.3,0</point><point>-11656.4,-7677.66,0</point></facet><facet><point>-11856.4,12522.3,0</point><point>-11856.4,12522.3,6500</point><point>-11656.4,12522.3,6500</point><point>-11656.4,12522.3,0</point></facet><facet><point>-11656.4,-7677.66,0</point><point>-11656.4,12522.3,0</point><point>-11656.4,12522.3,6500</point><point>-11656.4,-7677.66,6500</point></facet><facet><point>-11856.4,-7677.66,0</point><point>-11656.4,-7677.66,0</point><point>-11656.4,-7677.66,6500</point><point>-11856.4,-7677.66,6500</point></facet><facet><point>-11856.4,-7677.66,0</point><point>-11856.4,-7677.66,6500</point><point>-11856.4,12522.3,6500</point><point>-11856.4,12522.3,0</point></facet><facet><point>-11856.4,-7677.66,6500</point><point>-11856.4,12522.3,6500</point><point>-11656.4,12522.3,6500</point><point>-11656.4,-7677.66,6500</point></facet>
2JuXRljVH1lAVD85_X3iM3	Basic Wall:Generic - 200mm - Filled:199485	<facet><point>-11756.4,12422.3,0</point><point>-1756.36,12422.3,0</point><point>-1756.36,12622.3,0</point><point>-11756.4,12622.3,0</point></facet><facet><point>-1756.36,12422.3,0</point><point>-1756.36,12422.3,8000</point><point>-1756.36,12622.3,8000</point><point>-1756.36,12622.3,0</point></facet><facet><point>-11756.4,12622.3,0</point><point>-1756.36,12622.3,0</point><point>-1756.36,12622.3,8000</point><point>-11756.4,12622.3,8000</point></facet><facet><point>-11756.4,12422.3,0</point><point>-11756.4,12622.3,0</point><point>-11756.4,12622.3,8000</point><point>-11756.4,12422.3,8000</point></facet><facet><point>-11756.4,12422.3,0</point><point>-11756.4,12422.3,8000</point><point>-1756.36,12422.3,8000</point><point>-1756.36,12422.3,0</point></facet><facet><point>-11756.4,12422.3,8000</point><point>-1756.36,12422.3,8000</point><point>-1756.36,12622.3,8000</point><point>-11756.4,12622.3,8000</point></facet>
2JuXRljVH1lAVD85_X3iKy	Basic Wall:Generic - 200mm - Filled:199554	<facet><point>-1856.36,12322.3,0</point><point>-1856.36,-7677.66,0</point><point>-2056.36,-7677.66,0</point><point>-2056.36,12322.3,0</point></facet><facet><point>-1856.36,-7677.66,0</point><point>-1856.36,-7677.66,5000</point><point>-2056.36,-7677.66,5000</point><point>-2056.36,-7677.66,0</point></facet><facet><point>-2056.36,12322.3,0</point><point>-2056.36,-7677.66,0</point><point>-2056.36,-7677.66,5000</point><point>-2056.36,12322.3,5000</point></facet><facet><point>-1856.36,12322.3,0</point><point>-2056.36,12322.3,0</point><point>-2056.36,12322.3,5000</point><point>-1856.36,12322.3,5000</point></facet><facet><point>-1856.36,12322.3,0</point><point>-1856.36,12322.3,5000</point><point>-1856.36,-7677.66,5000</point><point>-1856.36,-7677.66,0</point></facet><facet><point>-1856.36,12322.3,5000</point><point>-1856.36,-7677.66,5000</point><point>-2056.36,-7677.66,5000</point><point>-2056.36,12322.3,5000</point></facet>
2JuXRljVH1lAVD85_X3iKL	Basic Wall:Generic - 200mm - Filled:199595	<facet><point>-1956.36,-7577.66,0</point><point>-11756.4,-7577.66,0</point><point>-11756.4,-7777.66,0</point><point>-1956.36,-7777.66,0</point></facet><facet><point>-11756.4,-7577.66,0</point><point>-11756.4,-7577.66,3000</point><point>-11756.4,-7777.66,3000</point><point>-11756.4,-7777.66,0</point></facet><facet><point>-1956.36,-7777.66,0</point><point>-11756.4,-7777.66,0</point><point>-11756.4,-7777.66,3000</point><point>-1956.36,-7777.66,3000</point></facet><facet><point>-1956.36,-7577.66,0</point><point>-1956.36,-7777.66,0</point><point>-1956.36,-7777.66,3000</point><point>-1956.36,-7577.66,3000</point></facet><facet><point>-1956.36,-7577.66,0</point><point>-1956.36,-7577.66,3000</point><point>-11756.4,-7577.66,3000</point><point>-11756.4,-7577.66,0</point></facet><facet><point>-1956.36,-7577.66,3000</point><point>-11756.4,-7577.66,3000</point><point>-11756.4,-7777.66,3000</point><point>-1956.36,-7777.66,3000</point></facet>
005Zuk9110axXeKE0kulOg	Basic Wall:Foundation - 300mm Concrete:200122	<facet><point>-2006.36,-7577.66,-3500</point><point>11693.6,-7577.66,-3500</point><point>11693.6,-7277.66,-3500</point><point>-2006.36,-7277.66,-3500</point></facet><facet><point>11693.6,-7577.66,-3500</point><point>11693.6,-7577.66,0</point><point>11693.6,-7277.66,0</point><point>11693.6,-7277.66,-3500</point></facet><facet><point>-2006.36,-7277.66,-3500</point><point>11693.6,-7277.66,-3500</point><point>11693.6,-7277.66,0</point><point>-2006.36,-7277.66,0</point></facet><facet><point>-2006.36,-7577.66,-3500</point><point>-2006.36,-7277.66,-3500</point><point>-2006.36,-7277.66,0</point><point>-2006.36,-7577.66,0</point></facet><facet><point>-2006.36,-7577.66,-3500</point><point>-2006.36,-7577.66,0</point><point>11693.6,-7577.66,0</point><point>11693.6,-7577.66,-3500</point></facet><facet><point>-2006.36,-7577.66,0</point><point>11693.6,-7577.66,0</point><point>11693.6,-7277.66,0</point><point>-2006.36,-7277.66,0</point></facet>
